1874.9,-4164.34,222.04,2
1228.39,-6218.66,270.89,2
1859.64,-4186.03,241.77,2
1944.54,-4023.1,217.09,2
1860.13,-4186.52,239.84,2
1860.11,-4186.53,240.55,2
1653.35,-4679.76,114.63,2
1860.13,-4186.52,239.86,2
1916.89,-4077.1,212.56,2
1906.26,-4061.92,212.66,2
668.4,-4600.17,218.18,2
1918.46,-4054.9,212.64,2
1859.58,-4185.95,241.77,2
355.84,-5697.51,309.77,2
2506.88,-3054.42,151.04,2
1860.1,-4186.55,241.76,2
1916.66,-4077.37,212.57,2
1860.13,-4186.52,239.85,2
1512.91,-5031.25,118.86,2
1597.46,-5038.7,113.36,2
1596.65,-5038.92,113.23,2
1905.93,-4068.83,212.82,2
1911.27,-4067.02,212.44,2
2511.42,-3012.53,119.28,2
1945.78,-4012,203.3,2
1860.07,-4186.52,241.77,2
1859.04,-4185.33,241.78,2
1860.11,-4186.53,240.44,2
1860.11,-4186.53,240.61,2
1905.95,-4069.37,212.82,2
1507.83,-3925,128.07,2
2440.66,-3052.68,143.21,2
1860.11,-4186.53,240.56,2
1908.42,-4067.72,212.64,2
1860.11,-4186.56,241.65,2
1859.55,-4185.91,241.77,2
1858.59,-4184.8,241.79,2
1859.03,-4185.31,241.78,2
1584.1,-5044.62,113.29,2
1918.45,-4054.9,212.64,2
-74.22,-3428.63,33.19,2
1916.83,-4077.11,212.56,2
1917.2,-4077.91,212.6,2
1859.59,-4185.96,241.77,2
1917.15,-4078,212.6,2
1518.82,-5000.1,125.24,2
1921.72,-4054.46,213.06,2
1917.17,-4077.91,212.6,2
1922.07,-4053.71,213.16,2
1859.18,-4185.49,241.78,2
1860.13,-4186.51,239.47,2
1467.38,-4403.57,165.13,2
1496.87,-3883.33,128.67,2
73.49,-5472.79,392.01,2
1917.28,-4077.21,212.57,2
2025.92,-2730.46,-0.28,2
1858.31,-4184.48,241.79,2
1858.94,-4185.21,241.78,2
1560.19,-5045.49,113.09,2
1859.45,-4185.8,241.78,2
1858.06,-4184.19,241.79,2
1871.31,-4470.25,190.1,2
1919.52,-4077.81,212.65,2
1903.86,-4381.82,48.08,2
1859.54,-4185.9,241.77,2
2659.27,-4117.16,349.76,2
1860.09,-4186.55,241.77,2
1859.53,-4185.89,241.77,2
1946.12,-4012.32,203.43,2
1910.84,-4066.29,212.45,2
2511.49,-3012.47,119.26,2
1859.48,-4185.83,241.77,2
1906.07,-4062.1,212.68,2
2702.05,-4022.76,377.61,2
1859.08,-4185.37,241.78,2
2662.32,-4120.23,349.71,2
1867.42,-4469.73,189.15,2
1516.53,-5036.86,119.49,2
2702.1,-4013.9,384.83,2
1858.51,-4184.71,241.79,2
1916.65,-4077.36,212.57,2
1858.5,-4184.7,241.79,2
1916.76,-4077.18,212.56,2
1596.9,-5038.89,113.22,2
1905.99,-4061.85,212.68,2
1859.5,-4185.86,241.77,2
1520.52,-5034.87,119.8,2
1910.62,-4067.2,212.49,2
2702.1,-4012.76,384.82,2
2386.56,-3076.1,150.38,2
1860.05,-2993.96,135.02,2
1596.94,-5038.87,113.24,2
1910.39,-4067.17,212.5,2
1921.72,-4054.48,213.06,2
1500.81,-4929.43,121.7,2
2169.04,-3615.52,173.7,2
1858.9,-4185.16,241.78,2
1859.04,-4185.32,241.78,2
2702.11,-4012.76,384.82,2
1917.24,-4077.98,212.6,2
1918.47,-4054.91,212.64,2
1945.91,-4012.14,203.34,2
1597.13,-5038.85,113.23,2
1904.15,-4382.28,48.14,2
1653.01,-4680.64,114.63,2
1945.86,-4012.08,203.31,2
1858.91,-4185.18,241.78,2
2271.71,-3002.37,149.74,2
1860.11,-4186.56,241.66,2
1858.33,-4184.51,241.79,2
1860.11,-4186.56,241.74,2
1916.92,-4077.18,212.56,2
1859.01,-4185.29,241.78,2
1587.9,-5040.29,113.02,2
1860.07,-4186.51,241.77,2
2506.94,-3054.45,150.93,2
1917.02,-4078.01,212.6,2
1903.97,-4382.13,48.12,2
1906.03,-4068.61,212.81,2
1916.75,-4077.86,212.59,2
2396.17,-3072.62,148.78,2
1509.33,-4976.55,125.7,2
1918.41,-4055.02,212.63,2
1859.48,-4185.84,241.77,2
1467.38,-4403.56,165.18,2
1859.45,-4185.8,241.77,2
2670.44,-4379.49,294.05,2
1859.55,-4185.92,241.77,2
1927.87,-4047.79,214.37,2
1871.4,-4470.31,190.09,2
1969.51,-2969.06,197.48,2
1917.24,-4077.83,212.59,2
2271.72,-3002.4,148.77,2
1497.08,-3883.33,128.68,2
1917.48,-4077.78,212.59,2
1653.32,-4680.2,114.63,2
1859.1,-4185.39,241.78,2
1860.11,-4186.53,240.52,2
2702.1,-4013.37,384.81,2
1653.35,-4680.07,114.63,2
1944.62,-4023.15,217.08,2
2511.5,-3012.53,119.26,2
1917.11,-4077.86,212.59,2
1917.48,-4077.72,212.59,2
